"X","Date","Monthly.Mean.Total.Sunspot.Number"
1,"1965-08-31",13.3
2,"1965-09-30",24.5
3,"1965-10-31",29.1
4,"1965-11-30",22.8
5,"1965-12-31",24.7
6,"1966-01-31",40.3
7,"1966-02-28",35.3
8,"1966-03-31",36.4
9,"1966-04-30",69
10,"1966-05-31",64.2
11,"1966-06-30",67.7
12,"1966-07-31",80.2
13,"1966-08-31",72.6
14,"1966-09-30",71.1
15,"1966-10-31",81.2
16,"1966-11-30",81
17,"1966-12-31",99.8
18,"1967-01-31",157
19,"1967-02-28",132.6
20,"1967-03-31",158.3
21,"1967-04-30",98.4
22,"1967-05-31",122.5
23,"1967-06-30",95.4
24,"1967-07-31",129.5
25,"1967-08-31",151.8
26,"1967-09-30",108.7
27,"1967-10-31",125
28,"1967-11-30",133.6
29,"1967-12-31",179
30,"1968-01-31",172.5
31,"1968-02-29",158.5
32,"1968-03-31",130.5
33,"1968-04-30",115
34,"1968-05-31",180
35,"1968-06-30",156.2
36,"1968-07-31",136.2
37,"1968-08-31",154.8
38,"1968-09-30",166
39,"1968-10-31",152.5
40,"1968-11-30",121.7
41,"1968-12-31",155.5
42,"1969-01-31",147.8
43,"1969-02-28",170.5
44,"1969-03-31",192.3
45,"1969-04-30",151.1
46,"1969-05-31",169.9
47,"1969-06-30",150.1
48,"1969-07-31",137.1
49,"1969-08-31",138.8
50,"1969-09-30",129.3
51,"1969-10-31",135.4
52,"1969-11-30",132.4
53,"1969-12-31",138.6
54,"1970-01-31",157.9
55,"1970-02-28",180.8
56,"1970-03-31",145.7
57,"1970-04-30",155.1
58,"1970-05-31",180.5
59,"1970-06-30",151.3
60,"1970-07-31",159.3
61,"1970-08-31",131.7
62,"1970-09-30",140.8
63,"1970-10-31",122.6
64,"1970-11-30",134.8
65,"1970-12-31",118.2
66,"1971-01-31",129.2
67,"1971-02-28",111.8
68,"1971-03-31",85.9
69,"1971-04-30",101.6
70,"1971-05-31",81.5
71,"1971-06-30",70.7
72,"1971-07-31",114.7
73,"1971-08-31",87
74,"1971-09-30",71.3
75,"1971-10-31",73.4
76,"1971-11-30",89.5
77,"1971-12-31",116.5
78,"1972-01-31",87
79,"1972-02-29",125.3
80,"1972-03-31",113.5
81,"1972-04-30",89.6
82,"1972-05-31",113.9
83,"1972-06-30",124.7
84,"1972-07-31",108.3
85,"1972-08-31",108.9
86,"1972-09-30",90.7
87,"1972-10-31",86.9
88,"1972-11-30",59.2
89,"1972-12-31",64.3
90,"1973-01-31",61.8
91,"1973-02-28",60.9
92,"1973-03-31",65.4
93,"1973-04-30",81.8
94,"1973-05-31",60.3
95,"1973-06-30",56.1
96,"1973-07-31",33.2
97,"1973-08-31",36.6
98,"1973-09-30",84.1
99,"1973-10-31",43.7
100,"1973-11-30",34.3
101,"1973-12-31",33.3
102,"1974-01-31",39.4
103,"1974-02-28",37.3
104,"1974-03-31",30.9
105,"1974-04-30",57.5
106,"1974-05-31",56.3
107,"1974-06-30",51.5
108,"1974-07-31",79.1
109,"1974-08-31",47.9
110,"1974-09-30",57.2
111,"1974-10-31",67.2
112,"1974-11-30",35.9
113,"1974-12-31",29.6
114,"1975-01-31",27.3
115,"1975-02-28",16.7
116,"1975-03-31",16.9
117,"1975-04-30",7.7
118,"1975-05-31",13.1
119,"1975-06-30",16.7
120,"1975-07-31",40.4
121,"1975-08-31",56.7
122,"1975-09-30",20.3
123,"1975-10-31",13.6
124,"1975-11-30",27.9
125,"1975-12-31",11.6
126,"1976-01-31",11.9
127,"1976-02-29",6.4
128,"1976-03-31",31.5
129,"1976-04-30",27.3
130,"1976-05-31",18.2
131,"1976-06-30",17.9
132,"1976-07-31",2.9
133,"1976-08-31",24.1
134,"1976-09-30",20
135,"1976-10-31",29.7
136,"1976-11-30",7.9
137,"1976-12-31",22.3
138,"1977-01-31",23.8
139,"1977-02-28",33.3
140,"1977-03-31",13
141,"1977-04-30",19
142,"1977-05-31",27
143,"1977-06-30",54.9
144,"1977-07-31",30.6
145,"1977-08-31",43
146,"1977-09-30",62.4
147,"1977-10-31",62.1
148,"1977-11-30",41.6
149,"1977-12-31",61.4
150,"1978-01-31",73.7
151,"1978-02-28",132.6
152,"1978-03-31",108.4
153,"1978-04-30",141.2
154,"1978-05-31",117.1
155,"1978-06-30",134.6
156,"1978-07-31",99.7
157,"1978-08-31",82.4
158,"1978-09-30",195.7
159,"1978-10-31",177.1
160,"1978-11-30",138.5
161,"1978-12-31",173.9
162,"1979-01-31",235.9
163,"1979-02-28",194.7
164,"1979-03-31",195.3
165,"1979-04-30",143.7
166,"1979-05-31",190.3
167,"1979-06-30",211.7
168,"1979-07-31",225.7
169,"1979-08-31",201.4
170,"1979-09-30",266.9
171,"1979-10-31",263.6
172,"1979-11-30",259.5
173,"1979-12-31",249.6
174,"1980-01-31",226.1
175,"1980-02-29",219.4
176,"1980-03-31",178.7
177,"1980-04-30",232.2
178,"1980-05-31",254.7
179,"1980-06-30",222.7
180,"1980-07-31",192.9
181,"1980-08-31",191.7
182,"1980-09-30",219.6
183,"1980-10-31",233.3
184,"1980-11-30",209.5
185,"1980-12-31",246.9
186,"1981-01-31",156.6
187,"1981-02-28",189.9
188,"1981-03-31",196.6
189,"1981-04-30",225.3
190,"1981-05-31",194.7
191,"1981-06-30",131.6
192,"1981-07-31",205.3
193,"1981-08-31",242.5
194,"1981-09-30",245.3
195,"1981-10-31",216.2
196,"1981-11-30",186
197,"1981-12-31",195.4
198,"1982-01-31",149.8
199,"1982-02-28",230.9
200,"1982-03-31",221.1
201,"1982-04-30",170.3
202,"1982-05-31",119.3
203,"1982-06-30",163.7
204,"1982-07-31",139.4
205,"1982-08-31",161.9
206,"1982-09-30",167.4
207,"1982-10-31",134.3
208,"1982-11-30",127.5
209,"1982-12-31",169
210,"1983-01-31",115.5
211,"1983-02-28",73.1
212,"1983-03-31",88.7
213,"1983-04-30",109.6
214,"1983-05-31",132.5
215,"1983-06-30",131.5
216,"1983-07-31",108.9
217,"1983-08-31",96
218,"1983-09-30",69.9
219,"1983-10-31",72.5
220,"1983-11-30",45.7
221,"1983-12-31",45.6
222,"1984-01-31",74.8
223,"1984-02-29",110.2
224,"1984-03-31",116.7
225,"1984-04-30",90.4
226,"1984-05-31",96.9
227,"1984-06-30",65.1
228,"1984-07-31",55.7
229,"1984-08-31",35
230,"1984-09-30",22.6
231,"1984-10-31",12.6
232,"1984-11-30",26.5
233,"1984-12-31",21.4
234,"1985-01-31",17.8
235,"1985-02-28",20.7
236,"1985-03-31",16.9
237,"1985-04-30",20.4
238,"1985-05-31",32.4
239,"1985-06-30",28.3
240,"1985-07-31",39.9
241,"1985-08-31",10.1
242,"1985-09-30",4.3
243,"1985-10-31",22
244,"1985-11-30",17.9
245,"1985-12-31",15.8
246,"1986-01-31",2.8
247,"1986-02-28",27.9
248,"1986-03-31",13.8
249,"1986-04-30",22.4
250,"1986-05-31",16.1
251,"1986-06-30",0.6
252,"1986-07-31",18.1
253,"1986-08-31",9.9
254,"1986-09-30",5.1
255,"1986-10-31",40.1
256,"1986-11-30",15.4
257,"1986-12-31",5.8
258,"1987-01-31",9.8
259,"1987-02-28",3.4
260,"1987-03-31",17.4
261,"1987-04-30",46
262,"1987-05-31",39.1
263,"1987-06-30",18.8
264,"1987-07-31",38.2
265,"1987-08-31",47.9
266,"1987-09-30",42.2
267,"1987-10-31",63.4
268,"1987-11-30",48.8
269,"1987-12-31",29.1
270,"1988-01-31",70.5
271,"1988-02-29",45.4
272,"1988-03-31",91.2
273,"1988-04-30",108.8
274,"1988-05-31",74.2
275,"1988-06-30",124.3
276,"1988-07-31",131.4
277,"1988-08-31",139.4
278,"1988-09-30",142.7
279,"1988-10-31",156.5
280,"1988-11-30",156.8
281,"1988-12-31",231.2
282,"1989-01-31",210.1
283,"1989-02-28",208.7
284,"1989-03-31",170.4
285,"1989-04-30",166.3
286,"1989-05-31",195.4
287,"1989-06-30",284.5
288,"1989-07-31",180.5
289,"1989-08-31",232
290,"1989-09-30",225.1
291,"1989-10-31",212.2
292,"1989-11-30",238.2
293,"1989-12-31",211.4
294,"1990-01-31",227.4
295,"1990-02-28",171.8
296,"1990-03-31",191.7
297,"1990-04-30",189.7
298,"1990-05-31",175.2
299,"1990-06-30",153.3
300,"1990-07-31",191.1
301,"1990-08-31",252.1
302,"1990-09-30",169.1
303,"1990-10-31",199.4
304,"1990-11-30",178.8
305,"1990-12-31",197.1
306,"1991-01-31",195.3
307,"1991-02-28",240.3
308,"1991-03-31",197
309,"1991-04-30",197.6
310,"1991-05-31",166.9
311,"1991-06-30",224.7
312,"1991-07-31",240.2
313,"1991-08-31",240.8
314,"1991-09-30",168.9
315,"1991-10-31",197.1
316,"1991-11-30",159.5
317,"1991-12-31",212.6
318,"1992-01-31",198.3
319,"1992-02-29",230.7
320,"1992-03-31",151
321,"1992-04-30",142.2
322,"1992-05-31",94.3
323,"1992-06-30",98.5
324,"1992-07-31",114.2
325,"1992-08-31",91.9
326,"1992-09-30",94
327,"1992-10-31",133.4
328,"1992-11-30",129.6
329,"1992-12-31",122
330,"1993-01-31",81.4
331,"1993-02-28",127.8
332,"1993-03-31",102.4
333,"1993-04-30",94.4
334,"1993-05-31",78.8
335,"1993-06-30",69.6
336,"1993-07-31",80.4
337,"1993-08-31",62.5
338,"1993-09-30",31.2
339,"1993-10-31",71.1
340,"1993-11-30",48.2
341,"1993-12-31",68.4
342,"1994-01-31",84.9
343,"1994-02-28",54.9
344,"1994-03-31",47.5
345,"1994-04-30",27.4
346,"1994-05-31",29.8
347,"1994-06-30",39.7
348,"1994-07-31",50.6
349,"1994-08-31",34.3
350,"1994-09-30",40.5
351,"1994-10-31",67.1
352,"1994-11-30",29.5
353,"1994-12-31",32.2
354,"1995-01-31",32.6
355,"1995-02-28",45.8
356,"1995-03-31",46.3
357,"1995-04-30",21.6
358,"1995-05-31",19.4
359,"1995-06-30",22.5
360,"1995-07-31",20.4
361,"1995-08-31",18.2
362,"1995-09-30",15.7
363,"1995-10-31",30.6
364,"1995-11-30",14
365,"1995-12-31",14.9
366,"1996-01-31",13.3
367,"1996-02-29",7.7
368,"1996-03-31",12.6
369,"1996-04-30",6.8
370,"1996-05-31",7.6
371,"1996-06-30",16.5
372,"1996-07-31",11.8
373,"1996-08-31",19.7
374,"1996-09-30",3
375,"1996-10-31",0.7
376,"1996-11-30",24.9
377,"1996-12-31",14
378,"1997-01-31",7.4
379,"1997-02-28",11
380,"1997-03-31",12.1
381,"1997-04-30",23
382,"1997-05-31",25.4
383,"1997-06-30",20.8
384,"1997-07-31",12.9
385,"1997-08-31",35.7
386,"1997-09-30",59.7
387,"1997-10-31",32.8
388,"1997-11-30",50.4
389,"1997-12-31",55.5
390,"1998-01-31",44.5
391,"1998-02-28",50.2
392,"1998-03-31",82
393,"1998-04-30",70.6
394,"1998-05-31",74
395,"1998-06-30",90.5
396,"1998-07-31",96.7
397,"1998-08-31",121.1
398,"1998-09-30",132
399,"1998-10-31",78.5
400,"1998-11-30",97.3
401,"1998-12-31",119.2
402,"1999-01-31",86
403,"1999-02-28",98
404,"1999-03-31",103.5
405,"1999-04-30",93.6
406,"1999-05-31",149.6
407,"1999-06-30",207.2
408,"1999-07-31",173.5
409,"1999-08-31",142.3
410,"1999-09-30",106.3
411,"1999-10-31",168.7
412,"1999-11-30",188.3
413,"1999-12-31",116.8
414,"2000-01-31",133.1
415,"2000-02-29",165.7
416,"2000-03-31",217.7
417,"2000-04-30",191.5
418,"2000-05-31",165.9
419,"2000-06-30",188
420,"2000-07-31",244.3
421,"2000-08-31",180.5
422,"2000-09-30",156
423,"2000-10-31",141.6
424,"2000-11-30",158.1
425,"2000-12-31",143.3
426,"2001-01-31",142.6
427,"2001-02-28",121.5
428,"2001-03-31",165.8
429,"2001-04-30",161.7
430,"2001-05-31",142.1
431,"2001-06-30",202.9
432,"2001-07-31",123
433,"2001-08-31",161.5
434,"2001-09-30",238.2
435,"2001-10-31",194.1
436,"2001-11-30",176.6
437,"2001-12-31",213.4
438,"2002-01-31",184.6
439,"2002-02-28",170.2
440,"2002-03-31",147.1
441,"2002-04-30",186.9
442,"2002-05-31",187.5
443,"2002-06-30",128.8
444,"2002-07-31",161
445,"2002-08-31",175.6
446,"2002-09-30",187.9
447,"2002-10-31",151.2
448,"2002-11-30",147.2
449,"2002-12-31",135.3
450,"2003-01-31",133.5
451,"2003-02-28",75.7
452,"2003-03-31",100.7
453,"2003-04-30",97.9
454,"2003-05-31",86.8
455,"2003-06-30",118.7
456,"2003-07-31",128.3
457,"2003-08-31",115.4
458,"2003-09-30",78.5
459,"2003-10-31",97.8
460,"2003-11-30",82.9
461,"2003-12-31",72.2
462,"2004-01-31",60.6
463,"2004-02-29",74.6
464,"2004-03-31",74.8
465,"2004-04-30",59.2
466,"2004-05-31",72.8
467,"2004-06-30",66.5
468,"2004-07-31",83.8
469,"2004-08-31",69.7
470,"2004-09-30",48.8
471,"2004-10-31",74.2
472,"2004-11-30",70.1
473,"2004-12-31",28.9
474,"2005-01-31",48.1
475,"2005-02-28",43.5
476,"2005-03-31",39.6
477,"2005-04-30",38.7
478,"2005-05-31",61.9
479,"2005-06-30",56.8
480,"2005-07-31",62.4
481,"2005-08-31",60.5
482,"2005-09-30",37.2
483,"2005-10-31",13.2
484,"2005-11-30",27.5
485,"2005-12-31",59.3
486,"2006-01-31",20.9
487,"2006-02-28",5.7
488,"2006-03-31",17.3
489,"2006-04-30",50.3
490,"2006-05-31",37.2
491,"2006-06-30",24.5
492,"2006-07-31",22.2
493,"2006-08-31",20.8
494,"2006-09-30",23.7
495,"2006-10-31",14.9
496,"2006-11-30",35.7
497,"2006-12-31",22.3
498,"2007-01-31",29.3
499,"2007-02-28",18.4
500,"2007-03-31",7.2
501,"2007-04-30",5.4
502,"2007-05-31",19.5
503,"2007-06-30",21.3
504,"2007-07-31",15.1
505,"2007-08-31",9.8
506,"2007-09-30",4
507,"2007-10-31",1.5
508,"2007-11-30",2.8
509,"2007-12-31",17.3
510,"2008-01-31",4.1
511,"2008-02-29",2.9
512,"2008-03-31",15.5
513,"2008-04-30",3.6
514,"2008-05-31",4.6
515,"2008-06-30",5.2
516,"2008-07-31",0.6
517,"2008-08-31",0.3
518,"2008-09-30",1.2
519,"2008-10-31",4.2
520,"2008-11-30",6.6
521,"2008-12-31",1
522,"2009-01-31",1.3
523,"2009-02-28",1.2
524,"2009-03-31",0.6
525,"2009-04-30",1.2
526,"2009-05-31",2.9
527,"2009-06-30",6.3
528,"2009-07-31",5.5
529,"2009-08-31",0
530,"2009-09-30",7.1
531,"2009-10-31",7.7
532,"2009-11-30",6.9
533,"2009-12-31",16.3
534,"2010-01-31",19.5
535,"2010-02-28",28.5
536,"2010-03-31",24
537,"2010-04-30",10.4
538,"2010-05-31",13.9
539,"2010-06-30",18.8
540,"2010-07-31",25.2
541,"2010-08-31",29.6
542,"2010-09-30",36.4
543,"2010-10-31",33.6
544,"2010-11-30",34.4
545,"2010-12-31",24.5
546,"2011-01-31",27.3
547,"2011-02-28",48.3
548,"2011-03-31",78.6
549,"2011-04-30",76.1
550,"2011-05-31",58.2
551,"2011-06-30",56.1
552,"2011-07-31",64.5
553,"2011-08-31",65.8
554,"2011-09-30",120.1
555,"2011-10-31",125.7
556,"2011-11-30",139.1
557,"2011-12-31",109.3
558,"2012-01-31",94.4
559,"2012-02-29",47.8
560,"2012-03-31",86.6
561,"2012-04-30",85.9
562,"2012-05-31",96.5
563,"2012-06-30",92
564,"2012-07-31",100.1
565,"2012-08-31",94.8
566,"2012-09-30",93.7
567,"2012-10-31",76.5
568,"2012-11-30",87.6
569,"2012-12-31",56.8
570,"2013-01-31",96.1
571,"2013-02-28",60.9
572,"2013-03-31",78.3
573,"2013-04-30",107.3
574,"2013-05-31",120.2
575,"2013-06-30",76.7
576,"2013-07-31",86.2
577,"2013-08-31",91.8
578,"2013-09-30",54.5
579,"2013-10-31",114.4
580,"2013-11-30",113.9
581,"2013-12-31",124.2
582,"2014-01-31",117
583,"2014-02-28",146.1
584,"2014-03-31",128.7
585,"2014-04-30",112.5
586,"2014-05-31",112.5
587,"2014-06-30",102.9
588,"2014-07-31",100.2
589,"2014-08-31",106.9
590,"2014-09-30",130
591,"2014-10-31",90
592,"2014-11-30",103.6
593,"2014-12-31",112.9
594,"2015-01-31",93
595,"2015-02-28",66.7
596,"2015-03-31",54.5
597,"2015-04-30",75.3
598,"2015-05-31",88.8
599,"2015-06-30",66.5
600,"2015-07-31",65.8
601,"2015-08-31",64.4
602,"2015-09-30",78.6
603,"2015-10-31",63.6
604,"2015-11-30",62.2
605,"2015-12-31",58
606,"2016-01-31",57
607,"2016-02-29",56.4
608,"2016-03-31",54.1
609,"2016-04-30",37.9
610,"2016-05-31",51.5
611,"2016-06-30",20.5
612,"2016-07-31",32.4
613,"2016-08-31",50.2
614,"2016-09-30",44.6
615,"2016-10-31",33.4
616,"2016-11-30",21.4
617,"2016-12-31",18.5
618,"2017-01-31",26.1
619,"2017-02-28",26.4
620,"2017-03-31",17.7
621,"2017-04-30",32.3
622,"2017-05-31",18.9
623,"2017-06-30",19.2
624,"2017-07-31",17.8
625,"2017-08-31",32.6
626,"2017-09-30",43.7
627,"2017-10-31",13.2
628,"2017-11-30",5.7
629,"2017-12-31",8.2
630,"2018-01-31",6.8
631,"2018-02-28",10.7
632,"2018-03-31",2.5
633,"2018-04-30",8.9
634,"2018-05-31",13.1
635,"2018-06-30",15.6
636,"2018-07-31",1.6
637,"2018-08-31",8.7
638,"2018-09-30",3.3
639,"2018-10-31",4.9
640,"2018-11-30",4.9
641,"2018-12-31",3.1
642,"2019-01-31",7.7
643,"2019-02-28",0.8
644,"2019-03-31",9.4
645,"2019-04-30",9.1
646,"2019-05-31",9.9
647,"2019-06-30",1.2
648,"2019-07-31",0.9
649,"2019-08-31",0.5
650,"2019-09-30",1.1
651,"2019-10-31",0.4
652,"2019-11-30",0.5
653,"2019-12-31",1.5
654,"2020-01-31",6.2
655,"2020-02-29",0.2
656,"2020-03-31",1.5
657,"2020-04-30",5.2
658,"2020-05-31",0.2
659,"2020-06-30",5.8
660,"2020-07-31",6.1
661,"2020-08-31",7.5
662,"2020-09-30",0.6
663,"2020-10-31",14.4
664,"2020-11-30",34
665,"2020-12-31",21.8
666,"2021-01-31",10.4
